describe,evalute,introduce,movie_name,serial_number,star
,,1994/美国/犯罪剧情,肖申克的救赎,1,
,,1993/中国大陆中国香港/剧情爱情同性,霸王别姬,2,
,,1994/美国/剧情爱情,阿甘正传,3,
,,1994/法国/剧情动作犯罪,这个杀手不太冷,4,
,,1997/意大利/剧情喜剧爱情战争,美丽人生,5,
,,1997/美国/剧情爱情灾难,泰坦尼克号,6,
,,2001/日本/剧情动画奇幻,千与千寻,7,
,,1993/美国/剧情历史战争,辛德勒的名单,8,
,,2010/美国英国/剧情科幻悬疑冒险,盗梦空间,9,
,,2009/美国英国/剧情,忠犬八公的故事,10,
,,1998/意大利/剧情音乐,海上钢琴师,11,
,,1998/美国/剧情科幻,楚门的世界,12,
,,2009/印度/剧情喜剧爱情歌舞,三傻大闹宝莱坞,13,
,,2008/美国/科幻动画冒险,机器人总动员,14,
,,2004/法国瑞士德国/剧情音乐,放牛班的春天,15,
,,2014/美国英国加拿大冰岛/剧情科幻冒险,星际穿越,16,
,,1995/中国香港中国大陆/喜剧爱情奇幻古装,大话西游之大圣娶亲,17,
,,2011/韩国/剧情,熔炉,18,
,,2016/美国/喜剧动画冒险,疯狂动物城,19,
,,2002/中国香港/剧情犯罪悬疑,无间道,20,
,,1988/日本/动画奇幻冒险,龙猫,21,
,,1972/美国/剧情犯罪,教父,22,
,,2006/美国/剧情传记家庭,当幸福来敲门,23,
,,2010/美国/剧情喜剧爱情,怦然心动,24,
,,2011/法国/剧情喜剧,触不可及,25,
,,2008/美国英国/剧情动作科幻犯罪惊悚,蝙蝠侠：黑暗骑士,26,
,,1957/美国/剧情犯罪悬疑,控方证人,27,
,,1994/中国大陆中国香港/剧情历史家庭,活着,28,
,,1939/美国/剧情历史爱情战争,乱世佳人,29,
,,2017/美国/喜剧动画奇幻音乐,寻梦环游记,30,
,,1987/英国意大利中国大陆法国/剧情传记历史,末代皇帝,31,
,,2016/印度/剧情传记运动家庭,摔跤吧！爸爸,32,
,,2003/美国新西兰/剧情动作奇幻冒险,指环王3：王者无敌,33,
,,2018/黎巴嫩法国美国/剧情,何以为家,34,
,,2012/美国中国台湾英国加拿大/剧情奇幻冒险,少年派的奇幻漂流,35,
,,2009/美国/剧情喜剧动画冒险,飞屋环游记,36,
,,1957/美国/剧情,十二怒汉,37,
,,2000/中国大陆/剧情喜剧,鬼子来了,38,
,,1986/日本/动画奇幻冒险,天空之城,39,
,,2013/韩国/剧情,素媛,40,
,,2004/日本/动画奇幻冒险,哈尔的移动城堡,41,
,,1995/中国香港中国大陆/喜剧爱情奇幻古装,大话西游之月光宝盒,42,
,,1988/意大利法国/剧情爱情,天堂电影院,43,
,,1953/美国/喜剧剧情爱情,罗马假日,44,
,,1992/美国/剧情,闻香识女人,45,
,,2001/美国英国/奇幻冒险,哈利·波特与魔法石,46,
,,2013/韩国/剧情,辩护人,47,
,,2018/中国大陆/剧情喜剧,我不是药神,48,
,,1999/美国德国/剧情动作悬疑惊悚,搏击俱乐部,49,
,,1989/美国/剧情,死亡诗社,50,
,,1974/美国/剧情犯罪,教父2,51,
,,1994/美国/动画冒险歌舞,狮子王,52,
,,2002/美国新西兰/剧情动作奇幻冒险,指环王2：双塔奇兵,53,
,,1961(中国大陆)/1964(中国大陆)/1978(中国大陆)/2004(中国大陆)/中国大陆/动画奇幻,大闹天宫,54,
,,2006/德国/剧情悬疑,窃听风暴,55,
